ngram,freq,ant,joy,tru,fea,sur,sad,dis,ang,none,max.value,max.prop
증가/NNG,1,0,0,0,0,0,0,0,0,1,none,1
지내/VV,1,0,0,0,0,0,0,0,0,1,none,1
지르/VV,1,1,0,0,0,0,0,0,0,0,ant,1
지치/VV,1,0,0,0,0,0,0,1,0,0,dis,1
짝/NNG,1,0,0,0,0,0,0,0,0,1,none,1
찢/VV,1,0,0,0,0,0,0,0,1,0,ang,1
착잡/XR,1,0,0,0,0,0,0.5,1,0,0,dis,1
참/MAG,1,0.5,1,0,0,0,0,0,0,0,joy,1
참담/NNG,1,0,0,0,0,0.5,1,0,0,0,sad,1
철이/NNP,1,0,0,0,0,0,0,0,0,1,none,1
청/NNG,1,0,0,1,0,0,0,0,0,0,tru,1
촉촉/XR,1,0,0,0,0,0,0,0,0,1,none,1
추억/NNG,1,0,0.5,1,0,0,0,0,0,0,tru,1
취하/VV,1,0,0,0,0,0,0,0,0,1,none,1
치/VV,3,0,0,0,0,0,0,0,0,1,none,1
친근감/NNG,1,0,0.5,1,0,0,0,0,0,0,tru,1
친숙/NNG,2,0,0.5,1,0,0,0,0,0,0,tru,1
친하/VA,2,0,0.5,1,0,0,0,0,0,0,tru,1
캄캄/XR,1,0,0,0,1,0,0,0,0,0,fea,1
컴플렉스/NNG,1,0,0,0,1,0,0,0,0,0,fea,1
통곡/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
한계/NNG,1,0,0,0,0,0,0,1,0.5,0,dis,1
한숨짓/VV,1,0,0,0,0,0,1,0.5,0,0,sad,1
한층/MAG,1,1,0,0,0,0,0,0,0,0,ant,1
한탄/NNG,1,0,0,0,0,0,1,0.5,0,0,sad,1
함성/NNG,1,0,1,0,0,0,0,0,0,0,joy,1
해방감/NNG,1,0.5,1,0,0,0,0,0,0,0,joy,1
해학/NNG,1,0,0,0,0,0,0,0,0,1,none,1
행복/NNG,9,0,1,0,0,0,0,0,0,0,joy,1
향하/VV,2,0,0,0,0,0,0,0,0,1,none,1
허리/NNG,2,0,0,0,0,0,0,0,0,1,none,1
형제애/NNG,1,0,0.5,1,0,0,0,0,0,0,tru,1
호감/NNG,1,0,0.5,1,0,0,0,0,0,0,tru,1
호기심/NNG,1,1,0,0,0,0,0,0,0,0,ant,1
홀가분/XR,1,0,1,0,0,0,0,0,0,0,joy,1
환영/NNG,2,0.66666667 ,0.5,0,0,0,0,0,0,0,ant,1
환희/NNG,1,0,1,0,0,0,0,0,0,0,joy,1
황홀/XR,1,0,1,0,0,0,0,0,0,0,joy,1
휩싸이/VV,1,0,0,0,0,0,1,0,0.5,0,sad,1
흠모/NNG,1,0,1,0.5,0,0,0,0,0,0,joy,1
흥겹/VA,1,0,1,0,0,0,0,0,0,0,joy,1
가/JKS;꺾이/VV,1,0,0,0,0.5,0,1,0,0,0,sad,1
가/JKS;돋아나/VV,1,0,0,0,0,0,0,0,0,1,none,1
가깝/VA;게/EC,1,0,0,0,0,0,0,0,0,1,none,1
가슴/NNG;은/JX,1,0,0,0,0,0,0,0,0,1,none,1
가슴/NNG;이/JKS,2,0,0,0,0,0,0,0,0,1,none,1
가장/MAG;인기/NNG,2,0.5,1,0,0,0,0,0,0,0,joy,1
가장/MAG;좋/VA,2,0,1,0,0,0,0,0,0,0,joy,1
각별/XR;하/XSA,2,0,0.5,1,0,0,0,0,0,0,tru,1
감/NNG;이/JKS,2,0,0,0,0,0,0,0,0,1,none,1
감동/NNG;으로/JKB,1,0,1,0.5,0,0,0,0,0,0,joy,1
감사/NNG;하/XSV,1,0,0.5,1,0,0,0,0,0,0,tru,1
감탄사/NNG;를/JKO,1,0,0,1,0,0,0,0,0,0,tru,1
